,Visited From: ,Distance (From Kadamba Bus Terminus): ,Trip Duration (Including Travel): ,Place Location: ,Transportation Options: ,Travel Tips: ,title
20,Kadamba Bus Terminus,4.8 Kms,2-3 Hours,Chorao Island,Cab / Auto / Rental Bike / Boat,None,Dr. Salim Ali Bird Sanctuary 
21,Cabo De Rama Fort,-,1-2 Hours,"Near Agonda Village, Past Cola Beach",Bus / Cab / Auto / Rental Bike,1. Cabo De Rama Fort (14.4 Kms) can also be visited from this Beach.2. Cola Beach (3.4 kms) can also be visited from this Beach.3. Agonda beach is not the ideal place for swimming.4. Palolem Beach (8.7 kms) can also be visited from this Beach.,Agonda Beach 
22,Kadamba Bus Terminus,34 Kms,1-2 Hours,"Near Arambol Village , Between Kalacha And Ashwem",Bus / Cab / Auto / Rental Bike,1. Kalacha Beach (1 km) can also be visited from this Beach.2. Ashwem Beach (6 kms) can also be visited from this Beach.3. Our Lady of Mount Carmal Church (15 kms) can also be visited from this Beach.4.Mandrem Beach (6 kms) can also be visited from this Beach.,Arambol Beach / Harmal Beach 
23,Kadamba Bus Terminus,30 Kms,2-3 Hours,Near Sanquelim Village,Bus / Cab / Auto / Rental Bike,1. Arvalem caves (1.3 kms) can also be visited from this place.,Arvalem Waterfalls 
24,Arambol Beach,30 Kms,1 Hour,Between Arambol And Mandrem Beaches,Cab / Auto / Rental Bike,1. Arambol Beach (6 kms) can also be visited from this beach.2. Mandrem Beach (continuation of Ashwem Beach) can also be visited from this beach.3.Morjim Beach (6.2 kms) can also be visited from this beach.4.Shree Bhagwati Temple(12 kms) can also be visited from this beach.5.Ravalnath Temple (4.4 kms) can also be visited from this beach.,Ashwem Beach 
25,Kadamba Bus Terminus,26 Kms,1-2 Hours,Near Priol Village,Cab / Auto / Bus / Rental Bike,1. Sada Water Falls (1 km) can also be visited from this place. 2. Shri Ramanathi Temple(7.6 kms) can also be visited from this place.3. Shri Nageshi Temple(6.8 kms) can also be visited from this place.4. Shri Mahalasa Devasthan(5.4 kms) can also be visited from this place.,Butterfly Conservatory Of Goa 
26,Panjim (Goa),-,Full Day,Near Mollem Village On NH 4A,Bus / Cab / Rental Bike,1. Dudhsagar Falls (4.7 kms) can also be visited from place.2.Accommodation available at Mollem.,Bhagwan Mahavir Sanctuary 
27,Colva Beach,-,1 Hour,"Near Betalbatim, Between Colva And Majorda Beaches",Bus / Cab / Auto / Rental Bike,1.Colva Beach (4.6 kms) can also be visited from this place.2. Majorda Beach (4.6 kms) can also be visited from this place.3. Our Lady of Remedios Church (1.7 kms) can also be visited from this place.,Betalbatim Beach 
28,Palolem Beach,-,1-2 Hours,On Butterfly Island,Cab / Auto / Rental Bike,1. Palolem Beach(6 kms) can also be visited from this place.2.Swimming is not recommended because of depth.,Butterfly Beach 
29,Kadamba Bus Terminus,7 Kms,1-2 Hours,Near Bambolim Village,Cab / Auto / Bus / Rental Bike,1. Siridao Beach (2 kms) can also be visited from this place.2. Odxel Beach (5.8 kms) can also be visited from this place.,Bambolim Beach 
30,Colva Beach,-,1-2 Hours,Between Velsao And Arossim Beaches,Cab / Auto / Bus / Rental Bike,"1.This place is usually visited from Colva Beach (10 kms).2. Arossim Beach (continuation of Cansaulim Beach), Utorda Beach (4.3 kms, Majorda Beach (5.9 kms), Cansaulim Church (1.6 kms), St. Lawrence Chapel (1.9 kms), Our Lady of Assumption (2.4 kms), Three Kings Church (5.2 kms) & Velsao Beach (2.5 kms) can also be visited from this place.",Cansaulim Beach 
31,Chapora Fort,20 Kms,1-2 Hours,Near Chapora Village And North Of Vagator Beach,Cab / Auto / Rental Bike,1.Chapora Fort (1.2 kms) can also be visited from this place.2. Vagator Beach (2 kms) can also be visited from this place.3.St. Anthony's Church (4.5 kms) can also be visited from this place.4.Ozran Beach (3 kms) can also be visited from this place.,Chapora Beach 
32,Reis Mogos Fort (2.5 kms),10 Kms,1-2 Hours,"Near Nerul Village, North Of Kegdole Beach",Bus / Cab / Auto / Rental Bike,1. Kegdole Beach (1 km) can also be visited from this place.2.Nerul Church (2 kms) can also be visited from this place.3. Reis Mogos Fort (2.5 kms) can also be visited from this place.4. Reis Mogos Church (2.7 kms) can also be visited from this place.,Coco Beach 
33,Calangute Beach,11 Kms,1-2 Hours,Between Calangute And Sinquerim Beaches,Cab / Auto / Rental Bike,1. This place is usually visited from Calangute Beach (5 kms).2. Aguada Fort (5.5 kms) can also be visited from this place.3.Sinquerim Beach (2.9 kms) can also be visited from this place.,Candolim Beach 
34,Kadamba Bus Terminus,9 Kms,1-2 Hours,Near Dona Paula Village,Cab / Auto / Bus / Rental Bike,1. Cabo Raj Niwas (1.9 kms) can also be visited from this place.2. Salim Ali Bird Sanctuary (14 kms) can also be visited from this place.3.Reis Mogos Church (14.4 kms) can also be visited from this place.4. Vainguinim Beach (2 kms) can also be visited from this place.5. Odxel Beach (3.6 kms) can also be visited from this place.6. Miramar Beach (3.4 kms) can also be visited from this place.7. Siridao Beach (8.4 kms) can also be visited from this place.,Dona Paula Beach 
35,Palolem Beach,-,1-2 Hours,Past Talpona Beach,Bus / Cab / Auto / Rental Bike,"'1. Talpona Beach(11 kms) can also be visited from this place.2. Palolem Beach (17.6 kms) can also be visited from this place.3.PatnemBeach(17.2 kms) can also be visited from this place.4.Polem Beach (0.1 kms) can also be visited from this place.5. Xandrem Beach (4.7 kms) can also be visited from this place.6.Perpetual Succour Chapel (0.3 kms) can also be visited from this place.7.St. Anthonys Church (0.6 kms) & Shri Nirakar Temple, Mashem (0.5 kms) can also be visited from here.",Galgibaga Beach 
36,Arambol Beach,-,1-2 Hours,"Near Paliyem Village, North Of Arambol Beach",Cab / Auto / Rental Bike,1. This place is usually visited from Arambol Beach (1 km).2. Tiracol Fort (15.4 kms) can also be visited from this place.3.Querim Beach (10 kms) can also be visited from this place.4.Mahalasa Devi Temple (4.5 kms) can also be visited from this place.5.Mandrem Beach (6.7 kms) can also be visited from this place.,Kalacha Beach 
37,Colva Beach,29 Kms,1-2 Hours,Between Utorda And Betalbatim Beaches,Cab / Auto / Rental Bike,1. This place is usually visited from Colva Beach (6.4 kms).2.Utorda Beach (3 kms) can also be visited from this place.3.Betalbatim Beach (4.6 kms) can also be visited from this place.4.Arrossim Beach (5.4 kms) can also be visited from this place.5.Mae de Deus Church (2.1 kms) can also be visited from this place.,Majorda Beach 
38,Arambol Beach,-,1-2 Hours,"South Of Arambol Beach, Near Pernem Village",Cab / Auto / Rental Bike,1. This place is usually visited from Arambol Beach (6 kms).2. Ashvem Beach (1.8 kms) can also be visited from this place.3. Pernem Bhagwati Temple (9.6 kms) can also be visited from this place.4. Ravalnath Temple (4.4 kms) can also be visited from this place.5. Morjim Beach (6.2 kms) can also be visited from this beach.,Mandrem Beach 
39,Dona Paula Beach,8 Kms,1-2 Hours,North Of Dona Paula Beach,Cab / Auto / Rental Bike,1.This place is usually visited from Dona Paula Beach (3.4 kms).2. St Inez Cross (4.2 kms) can also be visited from this place.3. Vainguinim Beach (4.2 kms) can also be visited from this place.4. Odxel Beach (4.4 kms) can also be visited from this place.,Miramar Beach 
40,Palolem Beach,-,1 Hour,"Past Palolem Beach, Between Rajbagh & Colomb Beach",Cab / Auto / Rental Bike,1. This place is usually visited from Palolem Beach (2.5 kms).2 .Colomb Beach (1.4 kms) can also be visited from this place.3. Rajbagh Beach (1.5 kms) can also be visited from this place.4. Butterfly Beach (7.5 kms) can also be visited from this place.5. Talpona Beach (8 kms ) can also be visited from this place.6. Shri Mallikarjuna Temple (6.8 kms ) can also be visited from this place.,Patnem Beach 
41,Colva Beach,-,1 Hour,Between Colva And Benaulim Beaches,Cab / Auto / Rental Bike,1. This place is usually visited from Colva Beach (4.3 kms).2. Benaulim Beach (2.5 kms) can also be visited from this place.3. Varca Beach (8 kms) can also be visited from this place.4. St. Francis Xavier Chapel (4 kms) can also be visited from this place.5. St John the Baptist Cemetery (3.2 kms ) can also be visited from this place.,Sernabatim Beach 
42,Palolem Beach,-,1 Hour,North Of Galgibagh Beach,Cab / Auto / Rental Bike,1. This place is usually visited from Palolem Beach (10 kms).2. Galgibagh Beach (2.4 kms) can also be visited from this place.3. Patnem Beach (8 kms) can also be visited from this place.4. Cotigao Sanctuary (9.2 kms) can also be visited from this place.5. Rajbagh Beach (6.8 kms ) can also be visited from this place.6. St. Anthonys Church (2 kms) can also be visited from this place.,Talpona Beach 
